cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-2551.fastq	gbsFlowcell	ZeaSynDH-2551.fastq	gbs	239
ZeaSynDH-2081.fastq	gbsFlowcell	ZeaSynDH-2081.fastq	gbs	240
ZeaSynDH-2946.fastq	gbsFlowcell	ZeaSynDH-2946.fastq	gbs	241
ZeaSynDH-365.fastq	gbsFlowcell	ZeaSynDH-365.fastq	gbs	242
ZeaSynDH-3594.fastq	gbsFlowcell	ZeaSynDH-3594.fastq	gbs	243
ZeaSynDH-2198.fastq	gbsFlowcell	ZeaSynDH-2198.fastq	gbs	244
ZeaSynDH-3094.fastq	gbsFlowcell	ZeaSynDH-3094.fastq	gbs	245
ZeaSynDH-3252.fastq	gbsFlowcell	ZeaSynDH-3252.fastq	gbs	246
ZeaSynDH-2566.fastq	gbsFlowcell	ZeaSynDH-2566.fastq	gbs	247
ZeaSynDH-3614.fastq	gbsFlowcell	ZeaSynDH-3614.fastq	gbs	248
ZeaSynDH-2269.fastq	gbsFlowcell	ZeaSynDH-2269.fastq	gbs	249
ZeaSynDH-1021.fastq	gbsFlowcell	ZeaSynDH-1021.fastq	gbs	250
ZeaSynDH-2663.fastq	gbsFlowcell	ZeaSynDH-2663.fastq	gbs	251
ZeaSynDH-3528.fastq	gbsFlowcell	ZeaSynDH-3528.fastq	gbs	252
ZeaSynDH-1524.fastq	gbsFlowcell	ZeaSynDH-1524.fastq	gbs	253
ZeaSynDH-2407.fastq	gbsFlowcell	ZeaSynDH-2407.fastq	gbs	254
ZeaSynDH-2251.fastq	gbsFlowcell	ZeaSynDH-2251.fastq	gbs	255
ZeaSynDH-3412.fastq	gbsFlowcell	ZeaSynDH-3412.fastq	gbs	256
ZeaSynDH-2296.fastq	gbsFlowcell	ZeaSynDH-2296.fastq	gbs	257
ZeaSynDH-3102.fastq	gbsFlowcell	ZeaSynDH-3102.fastq	gbs	258
ZeaSynDH-3577.fastq	gbsFlowcell	ZeaSynDH-3577.fastq	gbs	259
ZeaSynDH-2722.fastq	gbsFlowcell	ZeaSynDH-2722.fastq	gbs	260
ZeaSynDH-2146.fastq	gbsFlowcell	ZeaSynDH-2146.fastq	gbs	261
ZeaSynDH-1240.fastq	gbsFlowcell	ZeaSynDH-1240.fastq	gbs	262
ZeaSynDH-2291.fastq	gbsFlowcell	ZeaSynDH-2291.fastq	gbs	263
ZeaSynDH-2035.fastq	gbsFlowcell	ZeaSynDH-2035.fastq	gbs	264
ZeaSynDH-407.fastq	gbsFlowcell	ZeaSynDH-407.fastq	gbs	265
ZeaSynDH-2631.fastq	gbsFlowcell	ZeaSynDH-2631.fastq	gbs	266
ZeaSynDH-2306.fastq	gbsFlowcell	ZeaSynDH-2306.fastq	gbs	267
ZeaSynDH-3685.fastq	gbsFlowcell	ZeaSynDH-3685.fastq	gbs	268
ZeaSynDH-3253.fastq	gbsFlowcell	ZeaSynDH-3253.fastq	gbs	269
ZeaSynDH-2163.fastq	gbsFlowcell	ZeaSynDH-2163.fastq	gbs	270
ZeaSynDH-2325.fastq	gbsFlowcell	ZeaSynDH-2325.fastq	gbs	271
ZeaSynDH-3010.fastq	gbsFlowcell	ZeaSynDH-3010.fastq	gbs	272
ZeaSynDH-2104.fastq	gbsFlowcell	ZeaSynDH-2104.fastq	gbs	273
